,Rank,Title,Worldwide Lifetime Gross,Domestic Lifetime Gross,Domestic %,Foreign Lifetime Gross,Foreign %,Year
0,1,Avengers: Endgame,2797800564.0,858373000.0,30.7,1939427564.0,69.3,2019
1,2,Avatar,2790439000.0,760507625.0,27.2,2029931375.0,72.8,2009
2,3,Titanic,2194439542.0,659363944.0,30.0,1535075598.0,70.0,1997
3,4,Star Wars: Episode VII - The Force Awakens,2068223624.0,936662225.0,45.3,1131561399.0,54.7,2015
4,5,Avengers: Infinity War,2048359754.0,678815482.0,33.1,1369544272.0,66.9,2018
5,6,Jurassic World,1670400637.0,652270625.0,39.0,1018130012.0,61.0,2015
6,7,The Lion King (2019),1656943394.0,543638043.0,32.8,1113305351.0,67.2,2019
7,8,The Avengers,1518812988.0,623357910.0,41.0,895455078.0,59.0,2012
8,9,Furious 7,1515047671.0,353007020.0,23.3,1162040651.0,76.7,2015
9,10,Frozen II,1448857524.0,477078102.0,32.9,971779422.0,67.1,2019
10,11,Avengers: Age of Ultron,1402805868.0,459005868.0,32.7,943800000.0,67.3,2015
11,12,Black Panther,1346913161.0,700059566.0,52.0,646853595.0,48.0,2018
12,13,Harry Potter and the Deathly Hallows: Part 2,1341932398.0,381409310.0,28.4,960523088.0,71.6,2011
13,14,Star Wars: Episode VIII - The Last Jedi,1332539889.0,620181382.0,46.5,712358507.0,53.5,2017
14,15,Jurassic World: Fallen Kingdom,1308467944.0,417719760.0,31.9,890748184.0,68.1,2018
15,16,Frozen,1280802282.0,400738009.0,31.3,880064273.0,68.7,2013
16,17,Beauty and the Beast (2017),1263521126.0,504014165.0,39.9,759506961.0,60.1,2017
17,18,Incredibles 2,1242805359.0,608581744.0,49.0,634223615.0,51.0,2018
18,19,The Fate of the Furious,1236005118.0,226008385.0,18.3,1009996733.0,81.7,2017
19,20,Iron Man 3,1214811252.0,409013994.0,33.7,805797258.0,66.3,2013
20,21,Minions,1159398397.0,336045770.0,29.0,823352627.0,71.0,2015
21,22,Captain America: Civil War,1153296293.0,408084349.0,35.4,745211944.0,64.6,2016
22,23,Aquaman,1148461807.0,335061807.0,29.2,813400000.0,70.8,2018
23,24,The Lord of the Rings: The Return of the King,1142219401.0,377845905.0,33.1,764373496.0,66.9,2003
24,25,Spider-Man: Far from Home,1131927996.0,390532085.0,34.5,741395911.0,65.5,2019
25,26,Captain Marvel,1128274794.0,426829839.0,37.8,701444955.0,62.2,2019
26,27,Transformers: Dark of the Moon,1123794079.0,352390543.0,31.4,771403536.0,68.6,2011
27,28,Skyfall,1108561013.0,304360277.0,27.5,804200736.0,72.5,2012
28,29,Transformers: Age of Extinction,1104054072.0,245439076.0,22.2,858614996.0,77.8,2014
29,30,The Dark Knight Rises,1081041287.0,448139099.0,41.4,632902188.0,58.6,2012
30,31,Joker,1073945947.0,335445947.0,31.2,738500000.0,68.8,2019
31,32,Toy Story 4,1073394593.0,434038008.0,40.4,639356585.0,59.6,2019
32,33,Star Wars: Episode IX - The Rise of Skywalker,1073339895.0,514763615.0,48.0,558576280.0,52.0,2019
33,34,Toy Story 3,1066969703.0,415004880.0,38.9,651964823.0,61.1,2010
34,35,Pirates of the Caribbean: Dead Man's Chest,1066179725.0,423315812.0,39.7,642863913.0,60.3,2006
35,36,Rogue One: A Star Wars Story,1056057273.0,532177324.0,50.4,523879949.0,49.6,2016
36,37,Aladdin (2009),1050693953.0,355559216.0,33.8,695134737.0,66.2,2019
37,38,Pirates of the Caribbean: On Stranger Tides,1045713802.0,241071802.0,23.0,804642000.0,77.0,2011
38,39,Despicable Me 3,1034799409.0,264624300.0,25.6,770175109.0,74.4,2017
39,40,Jurassic Park,1032020521.0,402828120.0,39.0,629192401.0,61.0,1993
40,41,Finding Dory,1028570889.0,486295561.0,47.3,542275328.0,52.7,2016
41,42,Star Wars: Episode I - The Phantom Menace,1027082707.0,474544677.0,46.2,552538030.0,53.8,1999
42,43,Alice in Wonderland,1025467110.0,334191110.0,32.6,691276000.0,67.4,2010
43,44,Zootopia,1023784195.0,341268248.0,33.3,682515947.0,66.7,2016
44,45,The Hobbit: An Unexpected Journey,1017003568.0,303003568.0,29.8,714000000.0,70.2,2012
45,46,The Dark Knight,1004934033.0,535234033.0,53.3,469700000.0,46.7,2008
46,47,Harry Potter and the Sorcerer's Stone,978087613.0,318087620.0,32.5,659999993.0,67.5,2001
47,48,Harry Potter and the Deathly Hallows: Part 1,976920103.0,296347721.0,30.3,680572382.0,69.7,2010
48,49,Despicable Me 2,970766005.0,368065385.0,37.9,602700620.0,62.1,2013
49,50,The Lion King,968511805.0,422783777.0,43.6,545728028.0,56.4,1994
50,51,The Jungle Book (2016),966550600.0,364001123.0,37.7,602549477.0,62.3,2016
51,52,Jumanji: Welcome to the Jungle,962102237.0,404540171.0,42.0,557562066.0,58.0,2017
52,53,Pirates of the Caribbean: At World's End,960996492.0,309420425.0,32.2,651576067.0,67.8,2007
53,54,The Hobbit: The Desolation of Smaug,958366855.0,258366855.0,27.0,700000000.0,73.0,2013
54,55,The Hobbit: The Battle of the Five Armies,956019788.0,255119788.0,26.7,700900000.0,73.3,2014
55,56,The Lord of the Rings: The Two Towers,951208089.0,342551365.0,36.0,608656724.0,64.0,2002
56,57,Harry Potter and the Order of the Phoenix,942044510.0,292353413.0,31.0,649691097.0,69.0,2007
57,58,Finding Nemo,940343261.0,380843261.0,40.5,559500000.0,59.5,2003
58,59,Harry Potter and the Half-Blood Prince,934326396.0,302305431.0,32.4,632020965.0,67.6,2009
