,Color,Runtime,Director Facebook Likes,Actor 1 Facebook Likes,Genres,Title,Number of Voted Users,Cast Total Facebook Likes,Language,Country,Content Rating,Year,IMDb Score,Movie Facebook Likes
4447,Color,101.0,37.0,501.0,Drama|Horror|Mystery|Thriller,#Horror ,1547,1044,English,USA,Not Rated,2015,3.3,750
3698,Color,104.0,16.0,14000.0,Drama|Horror|Mystery|Sci-Fi|Thriller,10 Cloverfield Lane ,126893,14504,English,USA,PG-13,2016,7.3,33000
3015,Color,111.0,0.0,1000.0,Drama,10 Days in a Madhouse ,314,2059,English,USA,R,2015,7.5,26000
2845,Color,97.0,19.0,23000.0,Comedy|Drama|Romance,10 Things I Hate About You ,222099,37907,English,USA,PG-13,1999,7.2,10000
406,Color,100.0,36.0,2000.0,Adventure|Comedy|Family,102 Dalmatians ,26413,4182,English,USA,G,2000,4.8,372
3420,Color,107.0,53.0,954.0,Crime|Drama|Thriller,10th & Wolf ,5557,2512,English,USA,R,2006,6.4,294
3644,Color,85.0,9.0,861.0,Comedy|Crime|Drama,11:14 ,38273,2200,English,USA,R,2003,7.2,0
4822, Black and White,96.0,0.0,359.0,Crime|Drama,12 Angry Men ,447785,1433,English,USA,Not Rated,1957,8.9,40000
2281,Color,108.0,212.0,969.0,Action|Crime|Thriller,12 Rounds ,22823,2799,English,USA,PG-13,2009,5.6,0
2174,Color,134.0,0.0,2000.0,Biography|Drama|History,12 Years a Slave ,439176,4251,English,USA,R,2013,8.1,83000
2429,Color,94.0,0.0,11000.0,Adventure|Biography|Drama|Thriller,127 Hours ,279179,11984,English,USA,R,2010,7.6,63000
1626,Color,98.0,56.0,3000.0,Comedy|Fantasy|Romance,13 Going on 30 ,122187,6742,English,USA,PG-13,2004,6.1,0
970,Color,144.0,0.0,769.0,Action|Drama|Thriller|War,13 Hours ,47764,3580,English,USA,R,2016,7.4,44000
2078,Color,114.0,101.0,129.0,Fantasy|Horror,1408 ,209396,214,English,USA,PG-13,2007,6.8,11000
1168,Color,120.0,17.0,22000.0,Action|Crime|Drama|Thriller,15 Minutes ,42547,33585,English,USA,R,2001,6.1,748
1115,Color,102.0,503.0,13000.0,Action|Crime|Drama|Thriller,16 Blocks ,112769,15053,English,Germany,PG-13,2006,6.6,0
4600,Color,89.0,32.0,386.0,Comedy|Romance,16 to Life ,397,1647,English,USA,Not Rated,2009,6.3,143
1221,Color,102.0,23.0,2000.0,Comedy|Drama|Family|Fantasy|Romance,17 Again ,146899,7009,English,USA,PG-13,2009,6.4,0
3958,Color,168.0,0.0,713.0,Drama|Family|History|Musical,1776 ,6303,1541,English,USA,PG,1972,7.6,0
1723,Color,121.0,0.0,974.0,Action|Adventure|Drama|History|War,1911 ,4670,1887,Mandarin,China,R,2011,6.0,0
1556,Color,142.0,14000.0,16000.0,Action|Comedy|War,1941 ,25193,20201,English,USA,PG,1979,5.9,2000
4652,Color,90.0,66.0,904.0,Drama,1982 ,122,5435,English,USA,R,2013,7.1,181
515,Color,107.0,309.0,23000.0,Action|Crime|Thriller,2 Fast 2 Furious ,191912,25296,English,USA,PG-13,2003,5.9,0
722,Color,109.0,175.0,18000.0,Action|Comedy|Crime|Drama|Thriller,2 Guns ,156898,20148,English,USA,R,2013,6.7,22000
4975,Color,87.0,0.0,1000.0,Biography|Comedy|Romance,20 Dates ,1622,1362,English,USA,R,1998,5.3,30
4562,Color,91.0,9.0,130.0,Documentary|Music,20 Feet from Stardom ,9540,198,English,USA,PG-13,2013,7.4,14000
4894,Color,127.0,130.0,618.0,Adventure|Drama|Family|Fantasy|Sci-Fi,"20,000 Leagues Under the Sea ",22124,800,English,USA,Approved,1954,7.2,0
3612,Color,101.0,112.0,1000.0,Comedy|Drama|Romance,200 Cigarettes ,13010,2697,English,USA,R,1999,5.9,0
3079,Color,161.0,0.0,273.0,Adventure|Mystery|Sci-Fi,2001: A Space Odyssey ,427357,727,English,UK,G,1968,8.3,24000
60,Color,158.0,776.0,1000.0,Action|Adventure|Sci-Fi,2012 ,283418,2144,English,USA,PG-13,2009,5.8,13000
4181,Color,87.0,67.0,871.0,Documentary,2016: Obama's America ,9010,1111,English,USA,PG,2012,5.1,0
2995, Black and White,129.0,0.0,878.0,Drama|Romance|Sci-Fi,2046 ,41496,2378,Cantonese,Hong Kong,R,2004,7.5,0
