,Unnamed: 0_x,Rank,Title,Worldwide Lifetime Gross,Domestic Lifetime Gross,Domestic %,Foreign Lifetime Gross,Foreign %,Year_x,Unnamed: 0_y,Color,Runtime,Director Facebook Likes,Actor 1 Facebook Likes,Genres,Number of Voted Users,Cast Total Facebook Likes,Language,Country,Content Rating,Year_y,IMDb Score,Movie Facebook Likes
0,1,2,Avatar,2790439000.0,760507625.0,27.2,2029931375.0,72.8,2009,0,Color,178.0,0.0,1000.0,Action|Adventure|Fantasy|Sci-Fi,886204,4834,English,USA,PG-13,2009,7.9,33000
1,2,3,Titanic,2194439542.0,659363944.0,30.0,1535075598.0,70.0,1997,26,Color,194.0,0.0,29000.0,Drama|Romance,793059,45223,English,USA,PG-13,1997,7.7,26000
2,5,6,Jurassic World,1670400637.0,652270625.0,39.0,1018130012.0,61.0,2015,29,Color,124.0,365.0,3000.0,Action|Adventure|Sci-Fi|Thriller,418214,8458,English,USA,PG-13,2015,7.0,150000
3,7,8,The Avengers,1518812988.0,623357910.0,41.0,895455078.0,59.0,2012,794,Color,173.0,0.0,26000.0,Action|Adventure|Sci-Fi,995415,87697,English,USA,PG-13,2012,8.1,123000
4,8,9,Furious 7,1515047671.0,353007020.0,23.3,1162040651.0,76.7,2015,45,Color,140.0,0.0,26000.0,Action|Crime|Thriller,278232,79150,English,USA,PG-13,2015,7.2,94000
5,10,11,Avengers: Age of Ultron,1402805868.0,459005868.0,32.7,943800000.0,67.3,2015,8,Color,141.0,0.0,26000.0,Action|Adventure|Sci-Fi,462669,92000,English,USA,PG-13,2015,7.5,118000
6,15,16,Frozen,1280802282.0,400738009.0,31.3,880064273.0,68.7,2013,125,Color,102.0,69.0,1000.0,Adventure|Animation|Comedy|Family|Fantasy|Musical,421658,2582,English,USA,PG,2013,7.6,58000
7,19,20,Iron Man 3,1214811252.0,409013994.0,33.7,805797258.0,66.3,2013,32,Color,195.0,1000.0,21000.0,Action|Adventure|Sci-Fi,557489,30426,English,USA,PG-13,2013,7.2,95000
8,20,21,Minions,1159398397.0,336045770.0,29.0,823352627.0,71.0,2015,563,Color,91.0,22.0,7000.0,Action|Animation|Comedy|Family|Sci-Fi,142403,13616,English,USA,PG,2015,6.4,70000
9,21,22,Captain America: Civil War,1153296293.0,408084349.0,35.4,745211944.0,64.6,2016,27,Color,147.0,94.0,21000.0,Action|Adventure|Sci-Fi,272670,64798,English,USA,PG-13,2016,8.2,72000
10,23,24,The Lord of the Rings: The Return of the King,1142219401.0,377845905.0,33.1,764373496.0,66.9,2003,339,Color,192.0,0.0,5000.0,Action|Adventure|Drama|Fantasy,1215718,6434,English,USA,PG-13,2003,8.9,16000
